filename, language, Properties, JavaScript, HTML, JSON, Markdown, Vue, TypeScript, comment, blank, total
.editorconfig, Properties, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
.postcssrc.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
README.md, Markdown, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
build\build.js, JavaScript, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
build\check-versions.js, JavaScript, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
build\utils.js, JavaScript, 0, 80, 0, 0, 0, 0, 0, 5, 17, 102
build\vue-loader.conf.js, JavaScript, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
build\webpack.base.conf.js, JavaScript, 0, 79, 0, 0, 0, 0, 0, 5, 4, 88
build\webpack.dev.conf.js, JavaScript, 0, 85, 0, 0, 0, 0, 0, 8, 5, 98
build\webpack.prod.conf.js, JavaScript, 0, 118, 0, 0, 0, 0, 0, 25, 6, 149
config\dev.env.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
config\index.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 25, 15, 69
config\prod.env.js, JavaScript, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
index.html, HTML, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
package-lock.json, JSON, 0, 0, 0, 11885, 0, 0, 0, 0, 1, 11886
package.json, JSON, 0, 0, 0, 71, 0, 0, 0, 0, 1, 72
src\App.vue, Vue, 0, 0, 0, 0, 0, 25, 0, 4, 3, 32
src\axios\index.js, JavaScript, 0, 60, 0, 0, 0, 0, 0, 7, 1, 68
src\class\DynamicManager.js, JavaScript, 0, 309, 0, 0, 0, 0, 0, 8, 2, 319
src\class\DynamicModel.js, JavaScript, 0, 306, 0, 0, 0, 0, 0, 13, 1, 320
src\class\temp\Label.ts, TypeScript, 0, 0, 0, 0, 0, 0, 350, 229, 69, 648
src\class\temp\ModelInstance.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 3, 3, 35
src\class\temp\ModelInstanceCollection.js, JavaScript, 0, 957, 0, 0, 0, 0, 0, 73, 138, 1168
src\class\temp\MoveEntity.ts, TypeScript, 0, 0, 0, 0, 0, 0, 279, 18, 28, 325
src\class\temp\dm3.js, JavaScript, 0, 384, 0, 0, 0, 0, 0, 19, 7, 410
src\class\version\DynamicModel-1.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 323, 4, 327
src\class\version\DynamicModel-2.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 291, 4, 295
src\components\DmManagerPage.vue, Vue, 0, 0, 0, 0, 0, 400, 0, 7, 12, 419
src\components\HelloWorld.vue, Vue, 0, 0, 0, 0, 0, 314, 0, 7, 5, 326
src\components\ModelPage.vue, Vue, 0, 0, 0, 0, 0, 382, 0, 6, 7, 395
src\main.js, JavaScript, 0, 17, 0, 0, 0, 0, 0, 4, 3, 24
src\router\index.js, JavaScript, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
src\script\fetchFlight.js, JavaScript, 0, 41, 0, 0, 0, 0, 0, 1, 1, 43
src\script\fetchTrail.js, JavaScript, 0, 57, 0, 0, 0, 0, 0, 2, 5, 64
src\script\judge.js, JavaScript, 0, 29, 0, 0, 0, 0, 0, 1, 3, 33
src\script\temp.js, JavaScript, 0, 268, 0, 0, 0, 0, 0, 3, 22, 293
src\script\testFlight.js, JavaScript, 0, 96, 0, 0, 0, 0, 0, 33, 10, 139
src\script\testTrail.js, JavaScript, 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
Total, -, 8, 3154, 10, 11956, 2, 1121, 629, 1122, 414, 18416
